iter	Passed	Remaining
0	58	58156
1	58	29154
2	58	19497
3	58	14662
4	59	11760
5	59	9839
6	59	8456
7	59	7418
8	60	6612
9	60	5966
10	60	5437
11	60	4997
12	60	4624
13	61	4303
14	61	4026
15	61	3782
16	61	3569
17	61	3378
18	62	3207
19	62	3055
20	62	2916
21	62	2789
22	62	2674
23	63	2568
24	63	2471
25	63	2381
26	63	2298
27	63	2220
28	64	2148
29	64	2081
30	64	2018
31	64	1958
32	64	1902
33	65	1850
34	65	1801
35	65	1754
36	65	1710
37	65	1669
38	66	1629
39	66	1594
40	66	1558
41	66	1524
42	67	1492
43	67	1461
44	67	1431
45	67	1402
46	67	1375
47	68	1348
48	68	1323
49	68	1300
50	68	1277
51	68	1254
52	69	1233
53	69	1213
54	69	1193
55	69	1174
56	69	1155
57	70	1137
58	70	1122
59	70	1105
60	70	1089
61	70	1074
62	71	1058
63	71	1043
64	71	1029
65	71	1017
66	72	1004
67	72	990
68	72	977
69	72	965
70	72	953
71	73	941
72	73	929
73	73	919
74	73	908
75	73	897
76	74	887
77	74	878
78	74	868
79	74	859
80	74	850
81	75	841
82	75	832
83	75	824
84	75	814
85	75	806
86	75	797
87	76	789
88	76	781
89	76	774
90	76	766
91	76	759
92	77	752
93	77	746
94	77	739
95	77	733
96	78	726
97	78	720
98	78	714
99	78	707
100	78	702
101	79	695
102	79	690
103	79	684
104	79	679
105	79	673
106	80	667
107	80	662
108	80	657
109	80	652
110	80	647
111	81	642
112	81	637
113	81	632
114	81	628
115	81	623
116	81	618
117	82	614
118	82	609
119	82	605
120	82	601
121	82	597
122	83	592
123	83	587
124	83	583
125	83	579
126	83	576
127	83	571
128	84	567
129	84	564
130	84	560
131	84	557
132	84	553
133	85	549
134	85	546
135	85	542
136	85	539
137	85	536
138	86	532
139	86	529
140	86	526
141	86	523
142	86	520
143	87	517
144	87	514
145	87	511
146	87	508
147	87	505
148	88	503
149	88	501
150	88	498
151	88	496
152	89	493
153	89	491
154	89	488
155	89	486
156	90	483
157	90	480
158	90	478
159	90	475
160	90	473
161	91	470
162	91	468
163	91	465
164	91	463
165	91	461
166	91	458
167	92	456
168	92	454
169	92	451
170	92	449
171	92	447
172	93	445
173	93	443
174	93	441
175	93	439
176	93	436
177	94	434
178	94	432
179	94	430
180	94	428
181	94	426
182	95	424
183	95	422
184	95	420
185	95	418
186	95	416
187	96	415
188	96	413
189	96	411
190	96	409
191	96	407
192	97	406
193	97	404
194	97	402
195	97	400
196	97	398
197	98	397
198	98	395
199	98	393
200	98	392
201	98	390
202	99	388
203	99	387
204	99	385
205	99	384
206	99	382
207	100	380
208	100	379
209	100	377
210	100	376
211	100	374
212	101	373
213	101	371
214	101	370
215	101	369
216	101	367
217	102	366
218	102	364
219	102	363
220	102	362
221	102	360
222	103	359
223	103	357
224	103	356
225	103	355
226	103	353
227	104	352
228	104	351
229	104	349
230	104	348
231	104	347
232	105	345
233	105	344
234	105	343
235	105	341
236	105	340
237	106	339
238	106	338
239	106	337
240	106	335
241	106	334
242	107	333
243	107	332
244	107	330
245	107	329
246	107	328
247	107	327
248	108	326
249	108	325
250	108	324
251	108	323
